Material;Material short text;Final net price;Price quantity unit net price;Consumptions
02032-005;Sto-plinth board PS30SE 14 cm 100x50 cm;18,10;M2;1,00 m²/m²
02032-007;Sto-plinth board PS30SE 16 cm 100x50 cm;20,69;M2;1,00 m²/m²
02032-009;Sto-plinth board PS30SE 18 cm 100x50 cm;23,27;M2;1,00 m²/m²
02032-011;Sto-plinth board PS30SE 20 cm 100x50 cm;25,86;M2;1,00 m²/m²
02032-062;Sto-plinth board PS30SE 22 cm 100x50 cm;28,45;M2;1,00 m²/m²
02032-064;Sto-plinth board PS30SE 24 cm 100x50 cm;31,03;M2;1,00 m²/m²
02032-066;Sto-plinth board PS30SE 26 cm 100x50 cm;33,62;M2;1,00 m²/m²
02032-105;Sto-plinth board PS30SE 26 cm 100x50 cm;33,62;M2;1,00 m²/m²
02032-068;Sto-plinth board PS30SE 28 cm 100x50 cm;36,20;M2;1,00 m²/m²
02032-107;Sto-plinth board PS30SE 28 cm 100x50 cm;36,21;M2;1,00 m²/m²
02032-070;Sto-plinth board PS30SE 30 cm 100x50 cm;38,79;M2;1,00 m²/m²
02022-019;Sto-plinth board PS30SE 32 cm 100x50 cm;41,38;M2;1,00 m²/m²
02022-021;Sto-plinth board PS30SE 34 cm 100x50 cm;43,96;M2;1,00 m²/m²
02022-023;Sto-plinth board PS30SE 36 cm 100x50 cm;46,55;M2;1,00 m²/m²
02022-025;Sto-plinth board PS30SE 38 cm 100x50 cm;49,13;M2;1,00 m²/m²
02022-027;Sto-plinth board PS30SE 40 cm 100x50 cm;51,72;M2;1,00 m²/m²
09373-006;Sto-EPS plinth insulation board 032 10 cm 100X5;14,80;M2;1,00 m²/m²
09373-008;Sto-EPS plinth insulation board 032 12 cm 100X5;17,76;M2;1,00 m²/m²
09373-010;Sto-EPS plinth insulation board 032 14 cm 100X5;20,72;M2;1,00 m²/m²
09373-012;Sto-EPS plinth insulation board 032 16 cm 100X5;23,68;M2;1,00 m²/m²
09373-014;Sto-EPS plinth insulation board 032 18 cm 100X5;26,64;M2;1,00 m²/m²
09373-016;Sto-EPS plinth insulation board 032 20 cm 100X5;29,60;M2;1,00 m²/m²
09373-018;Sto-EPS plinth insulation board 032 22 cm 100X5;32,56;M2;1,00 m²/m²
09373-020;Sto-EPS plinth insulation board 032 24 cm 100X5;35,52;M2;1,00 m²/m²
09373-022;Sto-EPS plinth insulation board 032 26 cm 100X5;38,48;M2;1,00 m²/m²
09373-024;Sto-EPS plinth insulation board 032 28 cm 100X5;41,44;M2;1,00 m²/m²
09373-026;Sto-EPS plinth insulation board 032 30 cm 100X5;44,40;M2;1,00 m²/m²
09373-002;Sto-EPS plinth insulation board 032 6 cm 100x50;8,88;M2;1,00 m²/m²
09373-004;Sto-EPS plinth insulation board 032 8 cm 100x50;11,84;M2;1,00 m²/m²
09543-017;Sto-perimeter insulation board XPS 10 cm 126,5x61,5;32,10;M2;1,04 m²/m²
09543-017;Sto-perimeter insulation board XPS 10 cm 126,5x61,5;24,85;M2;1,04 m²/m²
09543-018;Sto-perimeter insulation board XPS 12 cm 126,5x61,5;38,54;M2;1,04 m²/m²
09543-018;Sto-perimeter insulation board XPS 12 cm 126,5x61,5;29,83;M2;1,04 m²/m²
09543-019;Sto-perimeter insulation board XPS 14 cm 126,5x61,5;44,94;M2;1,04 m²/m²
09543-019;Sto-perimeter insulation board XPS 14 cm 126,5x61,5;34,79;M2;1,04 m²/m²
09543-020;Sto-perimeter insulation board XPS 16 cm 126,5x61,5;53,04;M2;1,04 m²/m²
09543-020;Sto-perimeter insulation board XPS 16 cm 126,5x61,5;41,44;M2;1,04 m²/m²
09543-021;Sto-perimeter insulation board XPS 18 cm 126,5x61,5;62,46;M2;1,04 m²/m²
09543-021;Sto-perimeter insulation board XPS 18 cm 126,5x61,5;49,41;M2;1,04 m²/m²
09543-022;Sto-perimeter insulation board XPS 20 cm 126,5x61,5;69,40;M2;1,04 m²/m²
09543-022;Sto-perimeter insulation board XPS 20 cm 126,5x61,5;54,90;M2;1,04 m²/m²
09543-023;Sto-perimeter insulation board XPS 24 cm 126,5x61,5;83,27;M2;1,04 m²/m²
09543-023;Sto-perimeter insulation board XPS 24 cm 126,5x61,5;65,87;M2;1,04 m²/m²
09543-015;Sto-perimeter insulation board XPS 6 cm 126,5x61,5;19,26;M2;1,04 m²/m²
09543-015;Sto-perimeter insulation board XPS 6 cm 126,5x61,5;14,91;M2;1,04 m²/m²
09543-016;Sto-perimeter insulation board XPS 8 cm 126,5x61,5;25,68;M2;1,04 m²/m²
09543-016;Sto-perimeter insulation board XPS 8 cm 126,5x61,5;19,88;M2;1,04 m²/m²
02657-275;StoElement Pronto K-100 2,5° 15cm;30,69;M;
02657-276;StoElement Pronto K-100 2,5° 25cm;32,78;M;
02657-277;StoElement Pronto K-100 2,5° 35cm;36,76;M;
02657-278;StoElement Pronto K-100 5° 15cm;30,80;M;
02657-279;StoElement Pronto K-100 5° 25cm;33,27;M;
02657-280;StoElement Pronto K-100 5° 35cm;39,25;M;
02657-281;StoElement Pronto K-300 2,5° 15cm;32,07;M;
02657-282;StoElement Pronto K-300 2,5° 25cm;35,80;M;
02657-283;StoElement Pronto K-300 2,5° 35cm;37,09;M;
02657-284;StoElement Pronto K-300 5° 15cm;37,67;M;
02657-285;StoElement Pronto K-300 5° 25cm;39,81;M;
02657-286;StoElement Pronto K-300 5° 35cm;47,10;M;
02657-248;StoElement Pronto L-100 1,25 cm up to 15 c;21,36;M;
02657-249;StoElement Pronto L-100 1,25 cm up to 25 c;26,01;M;
02657-250;StoElement Pronto L-100 1,25 cm up to 35 c;31,28;M;
02657-251;StoElement Pronto L-100 2,0 cm up to 15 cm;22,13;M;
02657-252;StoElement Pronto L-100 2,0 cm up to 25 cm;27,15;M;
02657-253;StoElement Pronto L-100 2,0 cm up to 35 cm;32,67;M;
02657-254;StoElement Pronto L-100 3,0 cm up to 15 cm;23,80;M;
02657-255;StoElement Pronto L-100 3,0 cm up to 25 cm;30,62;M;
02657-256;StoElement Pronto L-100 3,0 cm up to 35 cm;36,16;M;
02657-257;StoElement Pronto L-101 1,25 cm up to 15 c;19,78;M;
02657-258;StoElement Pronto L-101 1,25 cm up to 25 c;24,09;M;
02657-259;StoElement Pronto L-101 1,25 cm up to 35 c;28,95;M;
02657-260;StoElement Pronto L-101 2,0 cm up to 15 cm;20,50;M;
02657-261;StoElement Pronto L-101 2,0 cm up to 25 cm;25,14;M;
02657-262;StoElement Pronto L-101 2,0 cm up to 35 cm;30,25;M;
02657-263;StoElement Pronto L-101 3,0 cm up to 15 cm;22,05;M;
02657-264;StoElement Pronto L-101 3,0 cm up to 25 cm;28,35;M;
02657-265;StoElement Pronto L-101 3,0 cm up to 35 cm;33,48;M;
02657-266;StoElement Pronto L-300 1,25 cm up to 15 c;31,12;M;
02657-267;StoElement Pronto L-300 1,25 cm up to 25 c;40,89;M;
02657-268;StoElement Pronto L-300 1,25 cm up to 35 c;50,50;M;
02657-269;StoElement Pronto L-300 2 cm up to 15 cm b;32,60;M;
02657-270;StoElement Pronto L-300 2 cm up to 25 cm b;42,44;M;
02657-271;StoElement Pronto L-300 2 cm up to 35 cm b;53,88;M;
02657-272;StoElement Pronto L-300 3 cm up to 15 cm b;33,25;M;
02657-273;StoElement Pronto L-300 3 cm up to 25 cm b;43,47;M;
02657-274;StoElement Pronto L-300 3 cm up to 35 cm b;55,52;M;
02657-168;StoElement Pronto K-100 2,5° up to 10 cm b;30,54;M;1,00 m/m
02657-169;StoElement Pronto K-100 2,5° up to 20 cm b;32,19;M;1,00 m/m
02657-170;StoElement Pronto K-100 2,5° up to 30 cm b;35,37;M;1,00 m/m
02657-171;StoElement Pronto K-100 2,5° up to 40 cm b;40,35;M;1,00 m/m
02657-172;StoElement Pronto K-100 5° up to 10 cm wide;30,54;M;1,00 m/m
02657-173;StoElement Pronto K-100 5° up to 20 cm wide;32,19;M;1,00 m/m
02657-174;StoElement Pronto K-100 5° up to 30 cm wide;35,37;M;1,00 m/m
02657-175;StoElement Pronto K-100 5° up to 40 cm wide;40,35;M;1,00 m/m
02657-237;StoElement Pronto K-300 2,5° up to 10 cm b;32,88;M;
02657-238;StoElement Pronto K-300 2,5° up to 20 cm b;34,48;M;
02657-239;StoElement Pronto K-300 2,5° up to 30 cm b;37,51;M;
02657-240;StoElement Pronto K-300 2,5° up to 40 cm b;42,12;M;
02657-241;StoElement Pronto K-300 5° up to 10 cm wide;38,14;M;
02657-242;StoElement Pronto K-300 5° up to 20 cm wide;39,75;M;
02657-243;StoElement Pronto K-300 5° up to 30 cm wide;42,84;M;
02657-244;StoElement Pronto K-300 5° up to 40 cm wide;55,32;M;
02657-176;StoElement Pronto L-100 1,25 cm up to 10 c;19,12;M;1,00 m/m
02657-177;StoElement Pronto L-100 1,25 cm up to 20 c;25,15;M;1,00 m/m
02657-178;StoElement Pronto L-100 1,25 cm up to 30 c;28,72;M;1,00 m/m
02657-179;StoElement Pronto L-100 1,25 cm up to 40 c;35,99;M;1,00 m/m
02657-180;StoElement Pronto L-100 1,25 cm up to 50 c;39,76;M;1,00 m/m
02657-181;StoElement Pronto L-100 2 cm up to 10 cm b;20,02;M;1,00 m/m
02657-182;StoElement Pronto L-100 2 cm up to 20 cm b;25,72;M;1,00 m/m
02657-183;StoElement Pronto L-100 2 cm up to 30 cm b;30,38;M;1,00 m/m
02657-184;StoElement Pronto L-100 2 cm up to 40 cm b;36,29;M;1,00 m/m
02657-185;StoElement Pronto L-100 2 cm up to 50 cm b;42,68;M;1,00 m/m
02657-186;StoElement Pronto L-100 3 cm up to 10 cm b;20,58;M;1,00 m/m
02657-187;StoElement Pronto L-100 3 cm up to 20 cm b;28,55;M;1,00 m/m
02657-188;StoElement Pronto L-100 3 cm up to 30 cm b;34,57;M;1,00 m/m
02657-189;StoElement Pronto L-100 3 cm up to 40 cm b;39,98;M;1,00 m/m
02657-190;StoElement Pronto L-100 3 cm up to 50 cm b;47,25;M;1,00 m/m
02657-222;StoElement Pronto L-300 1,25 cm up to 10 c;27,95;M;
02657-223;StoElement Pronto L-300 1,25 cm up to 20 c;37,87;M;
02657-224;StoElement Pronto L-300 1,25 cm up to 30 c;47,76;M;
02657-225;StoElement Pronto L-300 1,25 cm up to 40 c;57,65;M;
02657-226;StoElement Pronto L-300 1,25 cm up to 50 c;67,56;M;
02657-227;StoElement Pronto L-300 2 cm up to 10 cm b;28,95;M;
02657-228;StoElement Pronto L-300 2 cm up to 20 cm b;39,09;M;
02657-229;StoElement Pronto L-300 2 cm up to 30 cm b;50,72;M;
02657-230;StoElement Pronto L-300 2 cm up to 40 cm b;61,64;M;
02657-231;StoElement Pronto L-300 2 cm up to 50 cm b;69,76;M;
02657-232;StoElement Pronto L-300 3 cm up to 10 cm b;29,42;M;
02657-233;StoElement Pronto L-300 3 cm up to 20 cm b;39,94;M;
02657-234;StoElement Pronto L-300 3 cm up to 30 cm b;52,18;M;
02657-235;StoElement Pronto L-300 3 cm up to 40 cm b;63,54;M;
02657-236;StoElement Pronto L-300 3 cm up to 50 cm b;71,84;M;
02657-307;StoElement Pronto L surcharge for bevels;2,07;VE;
02657-306;StoElement Pronto L surcharge for zweites;7,87;M;
02657-245;StoElement Pronto KX-100;25,19;M;1,00 m/m
02657-246;StoElement Pronto KX-300;43,13;M;1,00 m/m
01953-024;StoElement JAK-A 140_100;321,18;M;
01953-024;StoElement JAK-A 160_100;334,30;M;
01953-024;StoElement JAK-A 160_120;325,95;M;
01953-024;StoElement JAK-A 180_120;338,27;M;
01953-024;StoElement JAK-A 180_140;337,08;M;
01953-024;StoElement JAK-A 200_120;341,85;M;
01953-024;StoElement JAK-A 200_140;339,07;M;
01953-024;StoElement JAK-A 220_120;351,39;M;
01953-024;StoElement JAK-A 220_140;346,62;M;
01953-024;StoElement JAK-A 240_120;359,34;M;
01953-024;StoElement JAK-A 240_140;355,37;M;
01953-024;StoElement JAK-A 260_120;368,88;M;
01953-024;StoElement JAK-A 260_140;364,91;M;
01953-024;StoElement JAK-A 280_120;384,78;M;
01953-024;StoElement JAK-A 280_140;377,63;M;
01953-024;StoElement JAK-A 300_120;399,09;M;
01953-024;StoElement JAK-A 300_140;389,55;M;
01946-006;StoElement Lintel C-10;107,72;M;1,00 m/m
01946-006;StoElement Lintel C-10;110,11;M;1,00 m/m
01946-006;StoElement Lintel C-10;112,49;M;1,00 m/m
01946-006;StoElement Lintel C-10;122,43;M;1,00 m/m
01946-006;StoElement Lintel C-10;124,82;M;1,00 m/m
01946-006;StoElement Lintel C-10;132,37;M;1,00 m/m
01946-006;StoElement Lintel C-10;139,92;M;1,00 m/m
01946-006;StoElement Lintel C-10;147,47;M;1,00 m/m
01946-006;StoElement Lintel C-10;155,03;M;1,00 m/m
01946-006;StoElement Lintel C-10;162,58;M;1,00 m/m
01946-006;StoElement Lintel C-10;170,13;M;1,00 m/m
02657-191;StoElement Pronto S-100 1,25 cm up to 10 c;19,07;M;1,00 m/m
02657-287;StoElement Pronto S-100 1,25 cm up to 15 c;21,31;M;1,00 m/m
02657-192;StoElement Pronto S-100 1,25 cm up to 20 c;25,11;M;1,00 m/m
02657-288;StoElement Pronto S-100 1,25 cm up to 25 c;25,97;M;1,00 m/m
02657-193;StoElement Pronto S-100 1,25 cm up to 30 c;28,67;M;1,00 m/m
02657-289;StoElement Pronto S-100 1,25 cm up to 35 c;31,21;M;1,00 m/m
02657-194;StoElement Pronto S-100 1,25 cm up to 40 c;35,95;M;1,00 m/m
02657-195;StoElement Pronto S-100 1,25 cm up to 50 c;38,33;M;1,00 m/m
02657-196;StoElement Pronto S-100 2 cm up to 10 cm b;19,97;M;1,00 m/m
02657-197;StoElement Pronto S-100 2 cm up to 20 cm b;25,67;M;1,00 m/m
02657-198;StoElement Pronto S-100 2 cm up to 30 cm b;30,33;M;1,00 m/m
02657-199;StoElement Pronto S-100 2 cm up to 40 cm b;36,24;M;1,00 m/m
02657-200;StoElement Pronto S-100 2 cm up to 50 cm b;42,62;M;1,00 m/m
02657-290;StoElement Pronto S-100 2,0 cm up to 15 cm;22,08;M;1,00 m/m
02657-291;StoElement Pronto S-100 2,0 cm up to 25 cm;27,10;M;1,00 m/m
02657-292;StoElement Pronto S-100 2,0 cm up to 35 cm;32,61;M;1,00 m/m
02657-201;StoElement Pronto S-100 3 cm up to 10 cm b;20,53;M;1,00 m/m
02657-202;StoElement Pronto S-100 3 cm up to 20 cm b;28,51;M;1,00 m/m
02657-203;StoElement Pronto S-100 3 cm up to 30 cm b;34,53;M;1,00 m/m
02657-204;StoElement Pronto S-100 3 cm up to 40 cm b;39,94;M;1,00 m/m
02657-205;StoElement Pronto S-100 3 cm up to 50 cm b;45,57;M;1,00 m/m
02657-293;StoElement Pronto S-100 3,0 cm up to 15 cm;23,75;M;1,00 m/m
02657-294;StoElement Pronto S-100 3,0 cm up to 25 cm;30,58;M;1,00 m/m
02657-295;StoElement Pronto S-100 3,0 cm up to 35 cm;36,11;M;1,00 m/m
02657-207;StoElement Pronto S-300 1,25 cm up to 10 c;27,04;M;
02657-296;StoElement Pronto S-300 1,25 cm up to 15 c;30,11;M;
02657-208;StoElement Pronto S-300 1,25 cm up to 20 c;37,81;M;
02657-297;StoElement Pronto S-300 1,25 cm up to 25 c;40,83;M;
02657-209;StoElement Pronto S-300 1,25 cm up to 30 c;47,70;M;
02657-298;StoElement Pronto S-300 1,25 cm up to 35 c;50,43;M;
02657-210;StoElement Pronto S-300 1,25 cm up to 40 c;57,59;M;
02657-211;StoElement Pronto S-300 1,25 cm up to 50 c;65,03;M;
02657-212;StoElement Pronto S-300 2,0 cm up to 10 cm;28,90;M;
02657-299;StoElement Pronto S-300 2,0 cm up to 15 cm;32,55;M;
02657-213;StoElement Pronto S-300 2,0 cm up to 20 cm;39,03;M;
02657-300;StoElement Pronto S-300 2,0 cm up to 25 cm;42,37;M;
02657-214;StoElement Pronto S-300 2,0 cm up to 30 cm;50,66;M;
02657-301;StoElement Pronto S-300 2,0 cm up to 35 cm;53,81;M;
02657-215;StoElement Pronto S-300 2,0 cm up to 40 cm;61,58;M;
02657-216;StoElement Pronto S-300 2,0 cm up to 50 cm;69,71;M;
02657-217;StoElement Pronto S-300 3,0 cm up to 10 cm;28,41;M;
02657-302;StoElement Pronto S-300 3,0 cm up to 15 cm;32,09;M;
02657-218;StoElement Pronto S-300 3,0 cm up to 20 cm;39,88;M;
02657-303;StoElement Pronto S-300 3,0 cm up to 25 cm;43,40;M;
02657-219;StoElement Pronto S-300 3,0 cm up to 30 cm;52,12;M;
02657-304;StoElement Pronto S-300 3,0 cm up to 35 cm;55,46;M;
02657-220;StoElement Pronto S-300 3,0 cm up to 40 cm;63,50;M;
02657-221;StoElement Pronto S-300 3,0 cm up to 50 cm;71,77;M;
01898-008;StoElement Fauna FM-F 20;83,48;ST;
01898-005;StoElement Fauna FM-I 10;166,55;ST;
01898-006;StoElement Fauna MS-F 20;83,48;ST;
01898-003;StoElement Fauna MS-I 10;92,22;ST;
01898-004;StoElement Fauna MS-I 11;114,08;ST;
01898-007;StoElement Fauna SP-F 20;83,48;ST;
01898-009;StoElement Fauna SW-F 20;47,66;ST;
07083-018;Sto-Thermisches Trennband 45 mm x 1 mm x;0,52;M;
07083-019;Sto-Thermisches Trennband 75 mm x 1 mm x;0,89;M;
07083-017;Sto-Thermisches Trennband 90 mm x 1 mm x;1,67;M;
09588-001;Sto-joint filler VHF white 290 ml Kartusch;9,11;ST;
07048-003;StoColl G black;19,25;KG;
07048-002;StoColl G black 600 ml;16,96;ST;
07056-001;Fassadenbohrschraube 4,8x35 stainless steel;0,65;ST;
07056-007;Sto-Fassadenbohrschraube 5,5x24 mm Edels;0,29;ST;13 - 29 St./m² for Unterkonstruktion aus Aluminium je nach Windlastbereich
07046-001;Sto-Fassadenschraube 5,0x42 mm stainless steel;0,17;ST;13 - 21 St./m² for Unterkonstruktion aus Holz je nach Windlastbereich
07034-016;StoProfile Air G12 64cm²/m 250cm;3,20;M;1,00 m/m
07035-007;StoProfile Edge G12 250cm white;3,17;M;1,00 m/m
07035-011;StoProfile Edge GF12 250cm;3,12;M;1,00 m/m
07035-018;StoProfile Edge GL12 250cm;2,54;M;
07035-012;StoProfile Edge GT12 250cm;4,37;M;1,00 m/m
07035-016;StoProfile Edge GTR12 3mm 250cm;2,32;M;1,00 m/m
07035-017;StoProfile Edge GTR12 6mm 250cm;2,32;M;1,00 m/m
07086-007;Sto-ventilation profile Alu 30/40 250 cm;7,43;M;1,00 m/m
07086-008;Sto-ventilation profile Alu 40/100 250 cm;11,61;M;1,00 m/m
07034-015;StoProfile Drip G12 250cm;4,30;M;1,00 m/m
07008-010;StoCarrier Aero 12mm 1200x800mm;25,88;ST;1,04 St./m²
07002-010;StoCarrier Aero 12mm 2400x1200mm;87,38;ST;0,35 St./m²
07002-018;StoCarrier Aero 12mm 2600x1250mm;104,63;ST;0,31 St./m²
07008-015;StoCarrier Aero 12mm 3200x1200mm;141,00;ST;0,26 St./m²
03954-023;StoCarrier Hydro 12mm 1200x800mm;57,44;ST;
03954-024;StoCarrier Hydro 12mm 2400x1200mm;171,50;ST;
07089-010;StoDeco screw anchor LZ 10 120 mm;1,96;ST;
07089-011;StoDeco screw anchor LZ 10 140 mm;2,12;ST;
07089-012;StoDeco screw anchor LZ 10 160 mm;2,31;ST;
07089-013;StoDeco screw anchor LZ 10 180 mm;2,53;ST;
07089-014;StoDeco screw anchor LZ 10 200 mm;3,91;ST;
07089-015;StoDeco screw anchor LZ 10 220 mm;4,02;ST;
07089-016;StoDeco screw anchor LZ 10 240 mm;4,13;ST;
07089-017;StoDeco screw anchor LZ 10 260 mm;4,58;ST;
07089-018;StoDeco screw anchor LZ 10 280 mm;4,79;ST;
07089-019;StoDeco screw anchor LZ 10 300 mm;5,37;ST;
08979-002;StoDeco screw anchor LZ 14 360 mm;9,28;ST;2 pc/pc
01147-001;StoReno anchor combination washer 90 Durchmesser;0,48;ST;1,00 pc/pc
09376-003;StoDeco washer LZ 10;0,63;ST;1,00 pc/pc
09376-004;StoDeco washer LZ 14;0,71;ST;1,00 pc/pc
01870-001;StoReno joint sealing tape 10/4;1,01;M;1,00 m/m
00899-098;StoColl FM-E beige white;2,70;KG;6,00 - 8,00 kg/m² for hand-molded brick slips and natural stone coverings depending on thickness
00899-095;StoColl FM-E Dunkelgrau;2,29;KG;6,00 - 8,00 kg/m² for hand-molded brick slips and natural stone coverings depending on thickness
00899-094;StoColl FM-E Grau;2,29;KG;6,00 - 8,00 kg/m² for hand-molded brick slips and natural stone coverings depending on thickness
00899-097;StoColl FM-E grey white;2,70;KG;6,00 - 8,00 kg/m² for hand-molded brick slips and natural stone coverings depending on thickness
00899-099;StoColl FM-E natural white;2,70;KG;6,00 - 8,00 kg/m² for hand-molded brick slips and natural stone coverings depending on thickness
00899-096;StoColl FM-E Silbergrau;2,29;KG;6,00 - 8,00 kg/m² for hand-molded brick slips and natural stone coverings depending on thickness
00899-090;StoColl FM-K beige white;1,29;KG;5,00 - 6,00 kg/m² NF 71 x 240 x 14
00899-088;StoColl FM-K Dunkelgrau;1,06;KG;5,00 - 6,00 kg/m² NF 71 x 240 x 14
00899-089;StoColl FM-K grey white;1,29;KG;5,00 - 6,00 kg/m² NF 71 x 240 x 14
00899-073;StoColl FM-K N00 35 00 Anthrazit;1,46;KG;5,00 - 6,00 kg/m² NF 71 x 240 x 14
00899-074;StoColl FM-K N00 40 00;1,46;KG;5,00 - 6,00 kg/m² NF 71 x 240 x 14
00899-075;StoColl FM-K N00 60 00;1,70;KG;5,00 - 6,00 kg/m² NF 71 x 240 x 14
00899-076;StoColl FM-K N00 70 00;1,70;KG;5,00 - 6,00 kg/m² NF 71 x 240 x 14
00899-077;StoColl FM-K N00 85 00;2,51;KG;5,00 - 6,00 kg/m² NF 71 x 240 x 14
00899-091;StoColl FM-K natural white;1,29;KG;5,00 - 6,00 kg/m² NF 71 x 240 x 14
00899-086;StoColl FM-K R17 35 15;2,93;KG;5,00 - 6,00 kg/m² NF 71 x 240 x 14
00899-087;StoColl FM-K R17 38 38;2,93;KG;5,00 - 6,00 kg/m² NF 71 x 240 x 14
00899-078;StoColl FM-K Y08 50 03;1,46;KG;5,00 - 6,00 kg/m² NF 71 x 240 x 14
00899-079;StoColl FM-K Y08 60 03;2,51;KG;5,00 - 6,00 kg/m² NF 71 x 240 x 14
00899-081;StoColl FM-K Y08 60 10 Grau;1,06;KG;5,00 - 6,00 kg/m² NF 71 x 240 x 14
00899-082;StoColl FM-K Y08 70 05 Silbergrau;1,29;KG;5,00 - 6,00 kg/m² NF 71 x 240 x 14
00899-080;StoColl FM-K Y08 80 03;1,46;KG;5,00 - 6,00 kg/m² NF 71 x 240 x 14
00899-084;StoColl FM-K Y09 70 10;1,70;KG;5,00 - 6,00 kg/m² NF 71 x 240 x 14
00899-085;StoColl FM-K Y09 80 20;1,70;KG;5,00 - 6,00 kg/m² NF 71 x 240 x 14
00899-083;StoColl FM-K Y10 60 10;1,70;KG;5,00 - 6,00 kg/m² NF 71 x 240 x 14
00899-092;StoColl FM-K Ziegelrot dunkel;2,51;KG;5,00 - 6,00 kg/m² NF 71 x 240 x 14
00899-119;StoColl FM-S Anthrazit;2,19;KG;3,00 - 5,00 kg/m² for smooth split clinker slips and ceramic coverings
00899-118;StoColl FM-S Dunkelgrau;2,19;KG;3,00 - 5,00 kg/m² for smooth split clinker slips and ceramic coverings
00899-117;StoColl FM-S Grau;2,19;KG;3,00 - 5,00 kg/m² for smooth split clinker slips and ceramic coverings
00899-115;StoColl FM-S Manhattan;2,19;KG;3,00 - 5,00 kg/m² for smooth split clinker slips and ceramic coverings
00899-116;StoColl FM-S Sandgrau;2,19;KG;3,00 - 5,00 kg/m² for smooth split clinker slips and ceramic coverings
00899-114;StoColl FM-S Silbergrau;2,19;KG;3,00 - 5,00 kg/m² for smooth split clinker slips and ceramic coverings
01817-057;OTTO Cleaner T;23,85;ST;
01817-058;OTTO Primer 1216;75,75;ST;
01817-011;OTTOSEAL S70 C00 Transparent;9,82;ST;
01817-011;OTTOSEAL S70 C00 Transparent;7,95;ST;
01817-012;OTTOSEAL S70 C01 white;9,82;ST;
01817-012;OTTOSEAL S70 C01 white;7,95;ST;
01817-013;OTTOSEAL S70 C04 Schwarz;9,82;ST;
01817-013;OTTOSEAL S70 C04 Schwarz;7,95;ST;
01817-016;OTTOSEAL S70 C10 Bahamabeige;9,82;ST;
01817-016;OTTOSEAL S70 C10 Bahamabeige;7,95;ST;
01817-023;OTTOSEAL S70 C1282 matte-Manhattan;9,82;ST;
01817-023;OTTOSEAL S70 C1282 matte-Manhattan;7,95;ST;
01817-024;OTTOSEAL S70 C1300 matte-Anthrazit;9,82;ST;
01817-024;OTTOSEAL S70 C1300 matte-Anthrazit;7,95;ST;
01817-025;OTTOSEAL S70 C137 Anthrazitgrau;9,82;ST;
01817-025;OTTOSEAL S70 C137 Anthrazitgrau;7,95;ST;
01817-028;OTTOSEAL S70 C18 sanitary grey;9,82;ST;
01817-028;OTTOSEAL S70 C18 sanitary grey;7,95;ST;
01817-037;OTTOSEAL S70 C43 Manhattan;9,82;ST;
01817-037;OTTOSEAL S70 C43 Manhattan;7,95;ST;
01817-042;OTTOSEAL S70 C56 Betongrau;9,82;ST;
01817-042;OTTOSEAL S70 C56 Betongrau;7,95;ST;
01817-043;OTTOSEAL S70 C6111 matte-sanitary grey;9,82;ST;
01817-043;OTTOSEAL S70 C6111 matte-sanitary grey;7,95;ST;
01817-044;OTTOSEAL S70 C6112 matte-white;9,82;ST;
01817-044;OTTOSEAL S70 C6112 matte-white;7,95;ST;
01817-045;OTTOSEAL S70 C6113 matte-Betongrau;9,82;ST;
01817-045;OTTOSEAL S70 C6113 matte-Betongrau;7,95;ST;
01817-046;OTTOSEAL S70 C6114 matte-Schwarz;9,82;ST;
01817-046;OTTOSEAL S70 C6114 matte-Schwarz;7,95;ST;
01817-047;OTTOSEAL S70 C6115 matte-Bahamabeige;9,82;ST;
01817-047;OTTOSEAL S70 C6115 matte-Bahamabeige;7,95;ST;
01817-048;OTTOSEAL S70 C6116 matte-Anthrazitgrau;9,82;ST;
01817-048;OTTOSEAL S70 C6116 matte-Anthrazitgrau;7,95;ST;
01817-049;OTTOSEAL S70 C6117 matte-Jasmin;9,82;ST;
01817-049;OTTOSEAL S70 C6117 matte-Jasmin;7,95;ST;
01817-050;OTTOSEAL S70 C67 Anthrazit;9,82;ST;
01817-050;OTTOSEAL S70 C67 Anthrazit;7,95;ST;
01817-007;OTTOSEAL S70 K-Anthrazit;61,92;ST;
01817-007;OTTOSEAL S70 K-Anthrazit;61,85;ST;
01817-007;OTTOSEAL S70 K-Anthrazit;19,24;ST;
01817-007;OTTOSEAL S70 K-Anthrazit;12,56;ST;
01817-006;OTTOSEAL S70 K-Dunkelgrau;61,92;ST;
01817-006;OTTOSEAL S70 K-Dunkelgrau;61,85;ST;
01817-006;OTTOSEAL S70 K-Dunkelgrau;19,24;ST;
01817-006;OTTOSEAL S70 K-Dunkelgrau;12,56;ST;
01817-004;OTTOSEAL S70 K-Grau;61,92;ST;
01817-004;OTTOSEAL S70 K-Grau;61,85;ST;
01817-004;OTTOSEAL S70 K-Grau;19,24;ST;
01817-004;OTTOSEAL S70 K-Grau;12,56;ST;
01817-005;OTTOSEAL S70 K-grey white;61,92;ST;
01817-005;OTTOSEAL S70 K-grey white;61,85;ST;
01817-005;OTTOSEAL S70 K-grey white;19,24;ST;
01817-005;OTTOSEAL S70 K-grey white;12,56;ST;
01817-010;OTTOSEAL S70 S-Anthrazit;61,92;ST;
01817-010;OTTOSEAL S70 S-Anthrazit;61,85;ST;
01817-010;OTTOSEAL S70 S-Anthrazit;19,24;ST;
